	Day #1	Day #2	Day #3	Day #4	Day #5	Day #6	Day #7	Day #8	Day #9	Day #10	Day #11	Day #12	Day #13	Day #14	Day #15	Day #16	Day #17	Day #18	Day #19	Day #20	Day #21	Day #22	Day #23	Day #24	Day #25	Day #26	Day #27	Day #28	Day #29	Day #30	Day #31	Day #32	Day #33	Day #34	Day #35	Day #36	Day #37	Day #38	Day #39	Day #40	Day #41	Day #42	Day #43	Day #44	Day #45	Day #46	Day #47	Day #48	Day #49	Day #50	Day #51	Day #52	Day #53	Day #54	Day #55	Day #56	Day #57	Day #58	Day #59	Day #60	Day #61	Day #62	Day #63	Day #64	Day #65	Day #66	Day #67	Day #68	Day #69	Day #70	Day #71	Day #72	Day #73	Day #74	Day #75	Day #76	Day #77	Day #78	Day #79	Day #80	Day #81	Day #82	Day #83	Day #84	Day #85	Day #86	Day #87	Day #88	Day #89	Day #90	Day #91	Day #92	Day #93	Day #94	Day #95	Day #96	Day #97	Day #98	Day #99	Day #100	
Sim #31	109.54	117.666	116.999	116.802	112.985	115.748	121.081	100.324	102.021	111.968	134.008	100.577	120.951	107.651	115.06	142.009	122.025	123.861	114.753	114.849	112.854	105.568	128.312	107.893	107.057	109.987	114.379	105.214	122.783	127.242	115.766	112.246	116.085	111.501	124.684	115.302	119.751	112.943	103.816	109.512	104.989	124.687	112.587	105.497	115.223	129.734	121.976	112.253	124.96	116.576	116.063	120.394	116.807	118.712	121.86	117.874	123.178	104.062	110.909	108.032	137.368	118.067	120.58	117.417	112.034	117.332	123.467	126.141	112.728	114.418	114.796	126.687	138.991	99.8817	112.524	112.634	111.923	135.352	110.924	111.884	132.471	109.838	109.469	115.682	111.071	119.173	118.012	144.277	118.075	114.763	111.779	126.921	126.702	111.63	122.328	116.353	116.848	117.418	112.82	118.582	
Sim #32	110.896	118.388	119.549	118.043	113.992	115.865	121.383	101.372	101.962	113.211	131.393	101.499	119.204	109.331	112.752	143.587	120.445	124.382	115.109	113.111	112.857	107.597	128.761	107.941	106.891	112.223	115.074	105.569	122.26	127.151	118.477	110.93	116.598	112.8	124.889	117.201	120.448	113.862	103.135	110.712	100.985	123.176	112.008	105.131	115.268	129.171	121.453	114.075	126.766	115.96	117.122	122.079	117.338	119.782	123.978	117.521	124.671	105.922	112.286	108.161	134.807	118.983	122.342	117.48	113.653	118.785	125.717	127.504	112.582	117.162	114.731	127.794	138.165	99.8559	113.341	113.382	111.204	137.368	114.833	113.509	133.237	108.6	109.045	117.504	110.294	120.458	117.808	145.548	118.917	113.837	112.312	126.029	129.035	109.912	119.475	116.216	116.565	117.265	116.035	116.653	
Sim #33	109.555	120.123	120.095	118.009	113.32	114.799	121.174	101.072	101.218	112.915	128.802	103.131	120.425	109.297	112.778	143.835	119.402	126.934	115.548	113.177	111.782	107.519	126.875	107.699	107.273	111.345	116.118	107.747	119.017	127.796	117.081	112.06	116.029	113.326	125.843	115.418	122.96	113.171	103.871	112.14	100.303	125.152	111.64	105.384	115.828	130.671	120.825	117.695	126.541	116.437	118.417	124.056	116.899	119.673	123.507	116.53	125.351	107.33	111.341	107.821	134.512	118.169	123.277	118.8	114.07	120.193	125.898	127.865	110.951	117.083	114.173	127.035	140.801	99.3831	114.577	110.512	112.56	136.061	115.478	112.889	132.379	108.827	111.033	116.006	108.301	117.65	119.349	143.295	120.496	114.333	112.936	123.911	128.952	107.256	117.596	114.945	117.025	118.277	116.626	117.567	
Sim #34	110.663	120.897	121.677	118.21	114.861	112.875	123.431	100.937	100.666	115.304	129.859	104.882	118.907	109.874	111.492	142.717	121.599	127.077	114.675	112.497	112.146	107.347	126.543	105.393	109.042	110.418	114.965	104.846	119.087	128.143	116.236	112.056	116.721	115.284	127.207	119.538	123.598	113.678	103.729	111.616	101.583	126.802	110.971	107.495	116.635	131.222	121.536	118.536	127.766	114.449	119.938	122.08	118.173	119.817	125.381	118.545	124.935	105.12	111.651	108.544	137.45	117.298	122.092	118.309	113.983	120.857	125.471	128.89	111.424	119.174	112.163	128.514	138.178	100.867	113.866	110.572	112.882	135.373	115.469	112.529	133.423	110.134	110.155	117.549	109.397	119.848	122.29	143.449	121.3	115.1	110.295	124.545	128.551	108.256	117.194	113.859	115.819	119.073	116.623	118.721	
Sim #35	109.388	119.862	120.54	119.209	114.787	111.089	122.235	100.763	100.759	115.385	127.812	106.095	117.515	109.956	112.59	145.294	123.816	126.767	114.926	112.017	111.545	104.944	124.441	104.805	109.693	107.146	116.884	104.271	120.858	129.896	116.629	113.396	117.782	114.152	124.712	118.879	124.901	113.831	104.411	110.643	102.153	128.777	110.676	109.462	117.757	131.025	123.231	118.261	127.874	113.868	120.269	123.292	120.805	121.05	126.717	116.804	125.994	105.327	112.784	108.286	137.392	119.26	120.819	117.888	114.045	118.767	124.236	129.986	111.456	119.903	112.222	131.016	135.032	102.946	114.718	110.499	111.204	139.438	114.957	112.882	134.514	110.403	109.705	119.033	105.56	118.105	119.869	140.429	119.64	116.551	109.783	125.282	126.3	109.153	116.041	116.67	118.174	119.196	114.977	119.094	
Sim #36	111.375	119.499	123.448	119.766	114.355	109.043	120.746	102.047	102.686	113.531	127.74	105.361	114.944	110.218	114.431	146.052	120.991	127.303	116.131	113.654	112.852	105.123	124.219	104.524	110.249	106.405	116.898	104.988	119.727	131.052	117.968	112.038	120.009	114.798	121.159	118.078	127.335	112.928	105.595	109.713	100.799	129.406	110.275	107.601	118.787	130.512	124.385	122.576	127.238	113.729	118.632	122.516	121.953	120.442	127.654	116.611	124.871	103.401	112.227	107.443	137.791	117.379	121.812	117.447	114.307	121.172	123.871	130.328	112.152	118.681	113.006	132.199	132.879	102.498	114.652	112.104	112.003	138.053	114.486	113.39	134.922	110.998	109.396	118.17	105.262	119.409	119.954	143.141	119.742	116.294	110.456	123.626	125.143	109.999	114.792	114.834	120.308	118.242	115.516	117.322	
Sim #37	113.007	119.167	121.954	119.928	115.925	111.013	122.339	101.055	101.389	111.496	127.858	104.811	111.54	110.117	114.216	147.703	122.824	128.677	114.255	115.633	111.787	106.846	125.432	103.853	110.811	107.232	115.077	102.303	120.305	132.114	115.794	114.009	118.726	114.335	122.647	120.385	126.72	112.72	107.932	109.635	100.76	128.684	111.828	108.408	119.526	129.398	124.198	123.797	125.91	114.841	116.509	122.289	120.989	121.169	128.589	117.908	125.866	103.91	111.258	106.591	139.364	118.493	122.722	114.494	114.343	119.724	124.108	128.952	112.414	117.463	113.795	132.33	134.49	103.295	115.276	112.425	114.55	140.199	116.518	113.306	133.847	110.905	111.077	115.73	104.67	118.915	119.973	144.892	123.329	117.458	112.004	123.756	125.632	109.41	112.894	114.522	121.933	120.427	115.668	117.68	
Sim #38	114.59	119.159	123.988	121.392	116.19	109.963	122.125	100.379	100.93	110.109	127.248	104.788	112.552	111.401	114.306	148.896	121.604	130.633	114.35	115.331	110.157	106.91	125.351	103.17	109.628	106.46	115.79	102.075	119.698	130.593	114.967	113.105	122.071	114.67	119.119	117.711	126.514	113.937	109.975	110.946	100.423	128.071	111.891	108.967	117.803	131.555	121.793	124.768	126.127	114.519	117.564	122.402	122.899	120.054	129.419	118.253	127.683	108.399	112.537	107.419	139.894	119.446	123.672	114.816	114.63	120.483	121.736	127.897	110.366	120.187	111.844	132.033	137.257	103.52	116.1	112.685	116.187	144.431	116.94	110.879	134.265	110.514	114.469	117.162	103.474	119.939	120.302	146.97	124.879	118.778	110.376	125.711	124.112	109.644	116.087	115.909	121.107	121.195	114.54	117.876	
Sim #39	113.568	120.562	127.605	120.773	116.151	110.698	120.399	99.0661	99.1977	110.151	126.96	103.958	112.2	110.469	114.404	147.096	123.679	131.307	114.778	116.419	109.186	106.535	126.095	102.076	109.964	107.753	117.525	102.677	119.624	130.13	114.388	113.304	120.244	115.08	120.582	115.385	128.369	114.079	109.262	111.148	100.565	126.275	114.37	109.964	117.861	129.186	121.278	124.112	125.445	111.575	117.239	123.656	126.721	118.724	129.898	118.823	127.711	109.902	111.967	107.236	137.448	118.017	123.527	114.02	114.031	122.642	121.625	127.112	109.82	122.2	112.092	130.421	137.151	104.021	116.256	114.73	117.092	142.552	116.147	112.204	135.32	113.545	115.541	116.363	103.883	120.211	117.371	146.639	124.113	117.447	112.555	127.755	123.678	111.971	115.986	115.905	120.974	120.93	114.942	120.929	
Sim #40	113.86	121.71	127.952	119.29	116.302	111.895	119.469	98.2948	97.6925	109.953	127.729	105.059	113.925	110.102	114.173	147.511	124.932	128.385	113.079	116.552	109.721	105.896	126.886	100.449	111.329	107.156	118.283	102.525	118.177	132.913	116.341	115.417	121.179	115.374	120.614	117.455	128.656	114.786	108.731	109.589	101.062	125.319	113.167	108.906	119.694	129.127	120.114	121.989	123.706	112.434	118.414	124.471	129.024	119.088	133.08	119.484	128.792	109.885	110.523	105.956	136.585	120.407	124.26	115.059	115.652	126.377	122.133	126.975	109.764	123.784	110.447	131.896	134.748	104.285	116.489	113.532	118.982	145.639	115.477	114.438	137.437	111.983	116.794	117.721	103.534	122.804	118.382	146.878	124.949	116.438	113.185	128.651	122.954	115.315	113.457	117.597	121.504	122.568	115.314	120.485	
Sim #41	114.683	124.435	126.539	121.334	117.33	110.865	117.142	99.0465	98.3458	112.655	126.287	104.488	113.913	109.884	113.695	148.458	125.501	128.124	113.296	114.998	108.044	105.288	126.514	100.262	112.29	106.779	116.276	101.307	117.241	136.284	115.655	115.5	121.331	116.325	121.876	120.805	131.849	116.896	108.729	108.117	101.315	125.649	114.709	108.369	121.5	128.336	122.641	120.928	125.078	110.812	116.691	126.116	130.536	122.233	132.474	119.284	128.637	110.355	109.713	106.877	137.416	118.283	125.087	115.846	118.633	125.454	121.699	126.667	110.934	124.215	111.128	134.384	136.005	105.287	117.605	112.463	120.25	146.889	116.682	114.439	138.004	112.848	117.738	117.998	103.571	120.674	118.774	148.117	125.326	115.68	113.092	127.474	122.612	115.918	114.891	115.183	120.864	124.214	114.231	119.095	
Sim #42	116.161	123.985	127.787	123.019	116.998	110.011	115.825	100.716	97.3681	111.688	125.606	102.908	112.616	107.778	112.789	146.266	127.439	127.834	113.17	114.866	106.716	106.285	125.083	99.5119	113.49	108.228	114.628	101.388	117.307	137.182	114.959	115.409	123.038	116.644	119.412	121.306	131.921	116.328	107.698	108.235	99.9107	124.445	115.849	107.915	118.994	128.519	123.334	120.16	125.834	109.167	115.068	127.675	129.427	123.506	131.662	117.13	130.665	111.733	110.533	107.154	135.777	117.435	125.441	115.858	119.366	123.662	120.796	126.699	111.205	125.874	112.17	133.012	137.158	107.243	121.07	112.302	121.638	149.296	119.54	112.29	137.147	112.814	117.303	117.723	105.644	120.613	120.232	147.346	124.068	116.808	114.334	126.89	122.853	114.797	117.086	115.677	119.933	126.439	114.696	118.637	
Sim #43	116.689	122.609	125.935	123.973	119.033	108.347	116.181	103.154	97.1988	111.327	128.302	101.488	111.422	108.239	114.223	146.575	124.872	126.693	111.554	117.216	108.193	104.963	124.479	101.329	112.175	109.029	112.086	100.264	115.507	137.984	117.619	116.379	123.415	115.219	119.473	121.827	131.462	117.04	106.423	110.934	100.225	125.243	115.79	107.316	117.585	127.497	121.531	123.859	127.503	107.269	116.763	128.411	128.863	125.452	133.698	117.397	130.664	112.926	112.009	107.278	135.68	118.18	127.005	115.981	119.413	123.967	121.298	128.773	108.153	126.846	112.463	132.955	136.233	106.37	122.583	111.103	121.957	147.113	120.142	111.904	135.421	114.067	116.213	117.865	104.733	120.904	119.126	149.934	122.839	118.201	113.633	127.733	122.138	113.662	117.74	118.145	120.431	125.881	114.379	121.484	
Sim #44	118.358	124.21	125.209	123.854	118.203	108.638	117.021	103.05	98.8642	111.234	126.088	101.849	112.29	109.576	114.399	147.951	127.113	127.779	113.527	116.143	109.472	104.008	125.266	101.15	112.822	110.213	113.995	99.9469	113.653	140.151	116.196	118.103	123.286	114.723	120.495	120.401	129.835	116.255	107.066	111.736	98.9294	126.256	115.887	109.418	116.615	128.451	121.772	123.108	128.663	106.755	117.186	129.687	131.425	124.999	134.118	121.463	128.578	114.798	110.928	107.738	136.301	116.528	128.721	116.94	119.92	122.623	121.148	126.943	107.063	126.195	110.238	133.717	138.081	106.407	124.476	110.491	125.299	150.35	118.998	110.657	136.47	113.661	115.516	117.731	105.336	122.286	118.888	151.029	123.618	117.802	114.499	130.247	121.845	114.19	118.667	117.842	119.261	128.605	112.072	120.938	
Sim #45	118.403	123.146	125.336	123.74	119.579	107.305	116.332	104.209	98.4683	112.955	126.297	101.362	112.244	112.969	114.575	148.918	127.502	126.758	113.098	117.558	108.869	103.063	125.697	102.866	113.029	110.153	113.806	100.781	115.564	138.165	115.323	118.48	121.713	113.379	118.002	120.809	130.401	118.882	105.594	110.96	99.6313	125.527	114.552	109.011	115.322	127.26	123.233	122.008	130.695	105.269	119.323	128.699	131.535	129.612	135.171	122.047	128.39	113.725	111.539	107.167	136.59	115.8	130.771	118.86	119.224	126.698	121.859	126.244	105.539	124.948	110.107	133.424	137.114	106.483	124.092	111.245	127.113	149.58	118.681	111.324	136.091	113.728	116.443	118.881	107.862	120.957	119.788	150.817	121.979	118.282	115.291	127.954	123.601	114.782	120.962	116.669	118.446	129.311	110.266	119.473	
Sim #46	119.084	123.018	125.151	122.705	120.873	105.522	115.224	103.044	97.1761	114.686	127.78	100.103	112.753	113.593	116.037	147.584	125.705	126.562	113.808	116.168	111.277	103.894	128.887	102.037	110.481	110.548	116.417	101.763	115.587	136.246	116.537	118.147	120.086	114.527	121.125	122.667	130.619	116.016	104.784	111.579	100.069	127.3	114.533	108.124	117.86	128.539	123.837	120.881	130.776	106.123	118.463	128.449	130.27	128.372	136.386	120.853	128.375	116.473	111.385	108.736	137.248	115.006	131.509	119.963	119.07	127.063	121.466	126.39	104.021	122.032	109.521	133.34	138.364	109.808	122.739	112.039	128.334	152.865	118.015	112.236	138.155	112.775	117.852	116.94	109.211	121.686	122.256	150.356	121.773	118.584	116.863	129.096	123.662	114.905	119.504	116.873	117.916	129.646	110.339	119.78	
Sim #47	119.787	123.956	123.321	122.302	118.89	106.415	116.102	103.738	96.8519	113.834	125.571	100.629	113.13	115.426	115.006	145.863	127.483	125.666	112.719	113.738	111.394	105.467	130.312	101.254	109.42	110.645	114.775	104.903	116.082	137.976	114.662	119.502	118.829	115.82	121.193	125.064	133.222	116.355	104.01	111.48	101.37	125.93	114.878	107.598	118.468	128.797	122.958	121.373	130.074	107.886	118.717	129.005	131.074	127.202	140.072	119.855	131.192	117.158	111.617	108.547	139.619	114.021	133.382	118.768	119.886	128.625	123.081	126.61	104.823	121.146	109.01	130.392	139.979	110.175	124.657	113.191	124.893	149.287	116.96	111.937	142.324	112.543	117.789	117.992	110.259	118.66	120.409	149.139	119.937	118.042	116.956	130.786	121.963	114.101	119.288	115.478	116.936	132.162	112.598	118.525	
Sim #48	121.368	123.907	121.134	120.665	119.681	107.693	117.351	103.699	95.4729	115.128	126.871	100.531	113.227	115.45	112.701	144.94	126.066	124.44	110.976	114.612	108.767	108.291	130.236	103.885	108.005	110.378	115.389	103.203	117.938	137.508	112.49	121.871	119.057	116.388	119.324	127.945	133.519	119.21	102.778	108.284	101.384	125.311	116.213	108.044	117.736	130.706	123.047	122.291	130.468	107.764	118.118	127.821	130.619	126.475	140.458	119.643	131.708	116.762	112.323	108.636	139.21	117.849	135.012	119.438	119.677	125.892	124.449	125.396	106.139	122.717	107.995	131.578	142.944	111.251	125.1	114.448	125.65	149.825	117.926	111.888	141.27	114.097	119.098	119.461	109.244	118.628	120.494	148.375	123.043	119.225	116.286	132.708	123.734	114.775	120.328	117.331	116.319	134.215	113.477	113.306	
Sim #49	120.415	125.379	122.014	121.688	119.242	107.383	116.595	103.344	93.962	115.05	124.969	103.434	114.261	116.46	111.901	142.783	124.37	125.512	111.694	113.066	110.272	110.144	131.184	103.472	106.337	111.194	115.288	105.331	117.972	136.605	113.051	121.447	116.646	118.141	121.991	130.912	135.324	120.865	100.926	107.826	98.7574	127.177	117.333	106.9	119.315	130.706	123.624	124.518	130.216	106.821	120.176	126.781	131.761	126.44	136.733	117.32	132.417	117.892	113.904	108.876	138.017	119.963	137.016	116.199	120.252	127.697	125.067	124.593	107.908	125.048	109.2	133.462	142.521	111.448	128.184	116.158	125.28	149.926	118.625	112.872	140.354	112.506	120.464	122.472	109.075	122.332	121.426	148.467	122.778	116.639	114.501	134.871	125.464	114.164	121.824	117.213	116.825	133.386	114.503	113.562	
Sim #50	121.998	125.488	121.28	120.093	118.821	108.012	116.726	104.791	94.5144	113.827	124.038	102.517	114.694	118.906	114.902	143.683	123.286	125.906	113.862	116.034	108.762	110.168	130.786	103.115	107.644	113.015	116.106	105.285	116.725	135.795	111.915	124.605	112.959	116.408	120.232	135.553	135.312	123.235	99.8738	107.922	97.8674	126.634	115.949	106.459	120.738	131.587	124.618	123.17	131.309	107.344	122.149	127.652	131.885	126.608	130.948	116.874	132.23	119.459	116.797	108.852	138.471	119.429	136.5	116.713	119.961	125.08	124.809	127.273	107.823	126.002	108.255	135.512	144.856	107.619	129.139	117.459	126.147	149.866	117.576	114.479	139.253	113.973	121.087	123.613	108.376	122.705	122.218	150.857	121.398	116.88	113.696	133.66	124.991	114.471	123.123	116.256	116.707	130.588	115.034	112.767	
Sim #51	120.118	123.422	123.368	119.629	119.749	107.933	117.764	106.031	92.0518	114.64	121.293	104.735	114.74	117.369	116.96	142.807	124.216	126.315	113.368	116.323	110.059	109.217	128.884	105.131	107.135	114.331	117.29	107.328	117.295	134.335	113.955	123.894	111.438	115.91	118.653	135.259	133.561	122.895	98.8191	110.051	98.1922	130.163	114.627	105.826	120.589	129.965	124.275	124.883	133.827	106.52	124.973	127.223	128.779	124.94	132.947	117.166	131.487	119.169	116.51	107.516	138.154	120.358	136.534	115.186	118.45	124.142	123.697	127.58	108.968	126.376	110.464	136.184	144.595	105.327	129.872	118.175	123.888	149.024	118.123	112.871	141.722	114.563	120.333	125.177	109.493	124.806	121.469	152.204	120.306	115.828	113.179	132.769	127.31	114.494	119.61	116.223	116.122	130.695	117.003	112.513	
Sim #52	120.632	122.461	122.286	122.054	119.357	106.833	118.566	104.816	93.1506	116.304	121.081	104.206	112.879	117.54	117.413	141.094	124.231	126.567	113.607	116.01	109.74	109.582	127.523	105.18	107.152	114.277	117.609	111.059	119.382	134.633	113.749	123.007	111.869	116.453	114.464	135.175	133.215	122.232	97.6156	108.823	98.3497	130.327	114.678	105.266	118.234	131.011	123.011	124.521	133.214	106.129	122.985	126.947	124.5	126.639	132.148	119.479	131.28	116.875	116.915	106.724	135.777	120.911	136.771	116.938	118.504	123.245	122.698	126.774	108.334	126.174	112.901	134.139	142.225	106.1	131.557	119.091	122.674	148.163	118.914	112.241	140.86	114.533	121.438	127.825	110.845	125.468	121.837	151.411	119.667	116.14	111.76	131.275	129.783	114.849	120.373	116.343	118.732	130.032	117.879	114.476	
Sim #53	121.507	120.632	123.867	119.136	120.042	109.029	121.427	103.877	93.2801	116.23	121.349	104.07	113.55	115.782	118.819	140.452	124.171	127.119	114.397	115.534	112.02	107.794	129.409	105.62	108.318	113.876	117.799	109.794	121.711	137.082	113.078	121.927	111.188	116.421	113.299	135.123	133.312	122.579	97.9414	109.686	98.4324	130.083	114.388	105.282	118.945	129.795	125.295	125.249	132.714	108.367	123.117	125.543	123.648	126.14	132.958	119.826	132.259	117.574	119.759	105.369	135.524	121.776	138.776	118.118	116.963	122.78	124.612	125.143	109.679	127.877	113.183	131.754	142.033	106.692	130.494	118.64	120.952	150.111	116.881	110.552	139.559	116.597	123.024	130.017	109.291	126.334	122.903	147.049	121.175	120.146	112.769	131.798	129.424	115.571	123.623	116.255	117.197	129.553	119.054	113.721	
Sim #54	119.303	119.683	122.069	118.397	120.903	111.546	122.567	103.574	94.814	116.395	120.972	102.838	113.263	117.544	117.181	143.548	124.499	124.91	114.161	115.417	112.201	105.48	131.318	105.686	108.383	115.261	120.437	109.988	120.542	136.569	112.531	123.327	112.04	117.559	111.624	137.552	134.339	124.54	97.5368	108.492	98.1774	130.653	112.624	105.167	121.938	131.305	126.236	124.421	130.62	107.957	123.335	125.136	123.873	128.537	132.957	117.806	132.587	114.972	120.385	106.783	134.829	123.028	138.456	119.772	116.44	123.478	122.61	122.788	109.633	127.323	112.205	131.739	141.678	107.873	130.746	119.219	121.126	150.073	116.188	109.575	139.221	118.216	122.578	129.893	107.583	124.854	124.166	147.761	120.784	118.449	112.735	132.772	127.921	114.782	127.069	115.715	118.345	130.547	119.674	113.905	
Sim #55	118.489	119.579	123	119.567	122.601	116.304	123.074	103.713	93.6883	118.033	118.241	101.915	114.933	117.668	119.042	143.998	123.221	124.185	115.531	115.34	114.625	104.275	128.886	106.4	110.21	114.647	122.259	111.74	120.993	136.781	113.232	124.839	114.763	120.388	113.689	133.921	133.067	124.025	97.6138	107.881	98.9715	128.569	111.516	106.946	120.514	131.319	126.826	124.732	129.332	109.605	124.821	127.243	123.306	129.456	131.21	116.778	130.637	112.061	119.578	109.466	137.374	123.942	136.412	117.997	118.159	124.327	124.214	122.892	110.144	127.415	112.135	132.573	139.565	106.845	130.886	121.536	119.455	149.873	115.563	109.59	138.543	117.449	123.487	129.742	105.088	122.524	125.003	149.338	121.673	120.875	113.712	132.387	127.586	113.576	125.036	114.677	121.065	131.32	121.412	114.645	
Sim #56	117.894	119.031	121.693	119.304	122.309	116.331	122.336	103.625	94.4204	117.543	118.987	101.65	114.599	119.962	119.907	146.628	125.18	119.55	117.813	115.418	113.813	104.323	125.816	105.964	114.664	114.686	121.118	110.591	119.907	135.837	112.633	125.822	115.732	120.771	112.908	137.795	134.932	122.408	97.6274	107.422	98.3508	127.573	111.364	106.474	118.409	132.645	125.564	124.587	127.813	110.25	128.502	124.246	122.191	131.232	129.573	118.828	131.997	113.929	118.902	108.006	135.44	122.249	136.526	115.673	118.548	123.763	126.286	121.019	110.968	128.371	112.971	129.263	139.722	106.322	130.567	122.548	120.968	148.384	115.917	110.667	136.131	117.801	123.559	129.883	104.976	125.37	123.918	145.582	121.377	120.95	114.808	133.45	129.022	112.554	126.328	115.487	118.724	133.902	122.361	113.969	
Sim #57	119.318	120.826	122.636	119.894	121.854	118.958	122.841	104.818	95.5855	116.539	118.806	100.443	115.168	121.888	118.734	144.728	128.064	119.118	119.369	115.349	114.887	105.772	126.888	105.564	115.674	113.587	118.794	111.085	120.626	135.925	113.362	126.033	118.243	119.909	112.08	138.721	133.307	124.137	97.1503	106.498	98.8163	124.271	113.047	109.351	116.031	133.101	128.146	122.919	126.25	109.224	130.78	123.203	125.434	128.256	130.933	121.726	129.922	115.695	118.49	107.865	135.043	122.592	136.619	117.024	118.314	126.322	127.324	120.609	111.333	127.641	113.342	129.3	140.411	107.625	131.487	123.292	120.696	148.191	115.974	110.461	137.48	117.692	122.403	131.235	105.644	124.217	125.793	148.216	122.502	122.523	115.11	134.485	129.13	112.046	128.056	115.329	118.951	132.365	122.191	113.15	
Sim #58	121.839	121.776	125.16	121.464	123.724	120.466	121.577	106.199	95.067	118.039	118.522	101.841	116.504	121.363	116.692	143.147	125.241	118.641	120.412	114.809	114.911	104.762	129.514	103.954	113.707	111.157	118.171	108.977	121.53	137.481	114.429	129.322	117.934	120.101	114.352	138.965	133.462	122.49	97.4467	108.501	99.1948	126.09	113.776	107.236	114.414	133.037	126.951	121.393	126.054	108.706	129.315	122.722	127.413	128.838	129.658	121.691	129.444	116.226	116.23	106.33	134.942	121.311	135.898	116.306	117.027	124.634	128.962	120.121	110.363	125.965	114.82	129.377	138.508	105.329	131.871	122.506	121.063	145.773	113.198	108.979	140.36	118.798	121.056	131.746	105.899	124.942	126.629	147.23	123.927	121.065	114.823	134.275	130.186	112.587	128.62	114.686	119.579	129.747	122.698	114.213	
Sim #59	121.31	122.369	124.355	121.301	122.102	120.054	123.375	109.635	96.0372	117.486	120.493	102.333	117.43	121.85	118.779	141.358	125.483	116.75	121.368	115.393	115.364	105.215	128.29	103.155	113.329	109.752	116.56	111.134	121.687	137.269	114.636	130.512	119.183	118.997	114.968	136.409	134.599	121.185	98.9133	110.117	100.605	127.719	113.65	107.795	115.17	134.304	127.037	121.952	126.551	108.426	130.355	121.83	129.148	127.643	128.338	121.847	130.209	115.389	116.103	108.482	135.117	125.068	137.671	116.823	117.924	125.483	129.066	118.175	108.27	127.044	116.104	129.593	139.357	104.945	130.86	120.715	122.023	142.962	112.531	110.863	141.444	116.096	120.22	133.398	107.059	123.615	126.568	147.983	125.789	121.474	116.736	133.555	132.876	113.865	128.928	116.068	119.337	128.661	120.421	114.072	
Sim #60	120.731	122.396	123.775	121.272	119.782	119.374	120.605	110.256	96.052	118.03	122.259	101.799	117.682	123.564	120.439	143.995	125.928	117.804	123.882	113.173	113.18	106.453	127.106	100.984	113.588	108.212	116.715	111.119	121.306	136.294	114.038	132.047	118.734	121.177	112.808	134.358	134.683	121.063	97.6297	109.571	101.313	129.088	114.057	109.353	112.735	135.369	126.324	119.658	127.731	111.327	131.033	123.474	128.06	127.365	131.822	121.167	132.012	113.366	118.867	108.651	138.838	125.75	139.04	116.625	119.652	126.843	131.015	119.013	109.073	125.096	114.059	130.882	139.11	106.17	132.306	119.266	121.906	143.093	114.106	111.019	139.07	115.968	121.221	134.476	105.996	123.774	127.833	149.346	126.608	122.561	118.907	131.575	132.835	114.386	127.368	118.958	122.536	130.004	120.791	114.485	
Sim #61	124.362	120.06	126.897	120.762	120.413	119.657	118.14	111.572	96.2217	118.929	121.611	102.388	117.954	123.312	121.755	145.961	125.998	118.205	127.234	111.057	114.275	106.577	129.774	101.151	117.514	107.812	115.687	111.63	123.077	136.06	110.966	129.692	118.678	122.522	112.067	137.308	133.847	120.948	96.9291	108.188	101.198	129.225	113.197	110.486	111.572	136.86	127.965	116.211	130.342	110.622	131.547	122.987	129.261	127.181	131.903	122.193	133.101	114.118	116.632	110.145	138.09	125.633	141.103	116.016	120.228	126.805	127.462	121	106.762	122.976	114.075	131.884	139.771	106.062	131.972	117.688	124.247	142.462	113.957	112.249	140.723	117.139	122.346	137.578	105.041	126.442	126.528	152.561	129.543	125.057	117.95	131.495	133.045	114.412	124.927	117.609	121.594	130.039	123.123	114.574	
Sim #62	123.843	117.993	126.995	120.182	119.228	119.923	120.38	111.273	95.9359	116.703	120.582	101.743	118.691	121.938	124.29	146.904	128.382	119.101	127.075	110.481	113.298	110.016	131.293	100.75	118.3	107.897	117.869	113.648	121.424	133.513	112.227	130.473	118.603	121.386	110.568	135.978	136.588	122.12	99.5949	108.67	101.21	128.889	113.358	110.813	110.672	137.039	126.648	118.774	129.804	113.677	132.534	123.362	130.165	127.061	127.906	122.94	131.714	111.946	114.38	107.245	137.972	126.782	141.418	116.08	119.683	125.15	126.541	120.291	108.316	125.587	114.446	132.316	137.359	107.922	131.768	119.082	123.23	140.079	114.385	113.302	139.992	118.843	121.086	136.72	105.286	127.517	126.777	152.137	131.871	122.874	116.069	130.126	134.406	112.273	127.172	117.55	120.798	127.679	125.333	114.819	
Sim #63	123.489	116.469	127.501	119.089	119.26	120.47	124.021	111.17	95.5817	117.153	122.673	103.269	116.269	121.293	125.377	145.481	127.941	119.457	127.102	111.661	115.714	109.633	131.954	100.805	116.805	107.859	118.027	115.946	124.49	133.193	110.625	132.125	118.743	124.182	110.188	136.819	137.331	122.203	100.392	108.722	101.514	129.968	112.178	109.885	112.283	135.918	126.48	118.448	128.734	113.528	132.009	123.536	131.825	125.81	124.784	122.851	129.869	111.732	114.816	110.769	140.078	127.99	141.489	115.768	120.186	125.686	124.495	120.826	108.978	123.986	113.401	132.419	136.137	107.119	131.458	118.661	123.165	141.137	115.935	112.538	139.701	117.915	121.495	135.271	102.137	126.946	125.664	151.016	131.212	123.906	116.364	133.379	135.997	113.616	124.287	119.051	122.048	126.975	127.088	115.29	
