	Day #1	Day #2	Day #3	Day #4	Day #5	Day #6	Day #7	Day #8	Day #9	Day #10	Day #11	Day #12	Day #13	Day #14	Day #15	Day #16	Day #17	Day #18	Day #19	Day #20	Day #21	Day #22	Day #23	Day #24	Day #25	Day #26	Day #27	Day #28	Day #29	Day #30	Day #31	Day #32	Day #33	Day #34	Day #35	Day #36	Day #37	Day #38	Day #39	Day #40	Day #41	Day #42	Day #43	Day #44	Day #45	Day #46	Day #47	Day #48	Day #49	Day #50	Day #51	Day #52	Day #53	Day #54	Day #55	Day #56	Day #57	Day #58	Day #59	Day #60	Day #61	Day #62	Day #63	Day #64	Day #65	Day #66	Day #67	Day #68	Day #69	Day #70	Day #71	Day #72	Day #73	Day #74	Day #75	Day #76	Day #77	Day #78	Day #79	Day #80	Day #81	Day #82	Day #83	Day #84	Day #85	Day #86	Day #87	Day #88	Day #89	Day #90	Day #91	Day #92	Day #93	Day #94	Day #95	Day #96	Day #97	Day #98	Day #99	Day #100	
Sim #11	116.196	118.772	110.116	117.187	110.161	113.647	116.561	104.811	104.62	111.173	119.018	112.534	120.591	107.499	110.706	123.204	113.549	113.381	111.867	116.484	116.233	99.552	112.341	112.217	108.973	106.743	113.594	103.865	115.776	120.684	113.999	109.592	113.809	110.463	116.584	117.975	119.111	111.507	116.613	113.026	108.23	116.562	110.205	107.817	112.881	113.277	110.536	111.033	118.836	115.319	121.786	113.632	110.809	110.033	109.759	118.233	124.789	110.931	106.969	108.602	123.545	112.332	118.743	106.81	113.238	110.096	119.751	118.265	110.339	113.845	110.901	113.631	115.99	103.766	115.082	112.863	119.138	111.536	111.933	112.449	119.312	114.326	103.666	111.208	107.965	109.366	119.48	124.208	111.664	111.318	111.528	120.154	112.528	111.606	118.832	114.008	113.257	111.255	115.136	115.682	
Sim #12	117.341	118.189	109.129	116.86	110.381	111.695	115.752	105.124	103.843	109.104	121.953	111.282	120.692	105.939	111.524	124.915	115.851	113.418	113.655	117.558	116.277	100.798	111.927	109.765	105.715	108.118	115.996	103.321	116.961	121.543	115.26	110.122	111.93	110.217	117.494	116.987	117.884	111.771	117.357	112.258	107.141	117.137	110.537	106.478	111.629	113.715	110.762	109.9	121.514	117.06	118.981	115.188	112.418	111.362	112.095	118.186	123.766	110.781	105.812	107.416	127.204	110.99	117.73	107.74	111.533	108.015	119.4	119.024	112.379	112.003	110.8	115.91	115.503	103.6	113.748	111.216	116.662	111.914	110.741	115.122	119.728	114.089	103.205	111.347	107.86	110.353	117.682	125.115	110.681	112.906	112.016	119.104	113.125	107.432	118.313	114.416	114.143	111.777	115.956	116.937	
Sim #13	117.69	117.758	109.676	116.298	111.871	112.151	118.904	104.471	103.222	109.517	122.16	109.777	120.013	107.104	111.747	125.961	115.531	112.916	114.553	115.764	115.953	102.554	112.366	109.997	105.642	109.897	114.574	105.399	116.454	120.573	116.968	109.41	112.546	110.039	118.593	116.912	117.058	112.654	116.669	112.005	108.757	119.302	113.811	106.901	110.905	114.701	112.476	110.597	123.261	116.119	119.641	114.988	112.583	110.532	110.944	119.294	125.459	110.448	103.532	109.633	126.083	110.896	119.99	109.014	110.7	106.193	120.221	119.706	112.767	112.14	111.559	117.042	115.117	102.359	112.494	111.143	114.978	113.705	109.766	113.024	119.129	117.224	102.947	111.152	107.03	109.634	116.346	126.807	109.793	115.396	111.744	121.895	114.645	109.013	115.851	114.315	115.343	111.547	117.132	117.973	
Sim #14	115.186	117.442	110.774	117.707	112.504	113.337	118.927	103.572	101.963	108.997	122.65	110.01	122.041	107.918	112.116	125.543	114.964	113.36	114.086	113.768	116.109	102.471	112.257	108.302	107.37	109.994	115.878	105.383	116.132	120.459	114.474	109.398	112.511	109.648	119.56	118.513	118.693	114.819	116.018	113.329	107.859	119.631	112.875	103.909	110.339	115.587	112.48	110.678	122.616	117.883	121.94	115.78	114.024	107.996	110.286	120.062	123.265	111.93	105.873	111.706	125.569	109.968	118.292	109.823	110.573	107.822	117.175	121.047	111.704	113.525	113.082	117.465	117.198	101.989	112.606	112.081	114.493	116.59	109.539	113.081	119.672	116.427	101.243	109.665	106.235	111.065	118.617	128.243	110.22	116.018	111.706	120.33	116.73	106.514	114.048	113.979	114.725	113.398	117.868	118.535	
Sim #15	115.796	115.319	110.528	119.336	111.464	115.688	117.232	102.972	101.395	108.59	123.898	108.13	121.325	106.168	112.494	125.616	114.437	114.29	117.569	112.286	116.779	103.613	114.067	106.42	106.374	110.829	116.517	104.851	115.261	119.404	114.631	110.535	113.277	109.366	122.234	118.218	115.935	112.901	114.492	113.997	107.107	118.979	113.23	105.324	111.335	115.359	112.161	111.083	120.811	118.216	122.583	115.102	114.168	109.381	110.634	119.222	124.56	108.758	105.664	111.54	126.117	111.092	118.142	111.327	109.8	107.983	112.878	122.529	111.548	112.546	111.635	120.401	118.893	102.95	111.663	114.347	113.675	117.079	108.079	113.014	120.281	116.292	100.313	110.247	106.265	111.388	118.076	127.934	110.711	114.612	113.913	118.798	116.78	105.144	114.958	111.616	115.532	113.032	118.839	117.076	
Sim #16	115.689	115.984	109.262	120.17	110.347	115.913	117.336	103.486	100.59	108.318	126.88	110.283	121.107	107.457	111.112	125.552	113.707	114.046	118.064	111.637	117.473	103.792	114.595	106.297	107.261	110.475	116.01	106.206	115.133	118.861	116.66	109.799	113.425	110.501	123.702	118.419	117.484	114.643	114.879	113.283	107.999	117.425	115.351	105.638	113.78	115.064	111.392	110.505	122.38	116.134	121.82	116.491	114.441	110.654	110.366	119.028	124.297	109.774	102.62	110.373	125.953	109.897	117.359	108.384	111.059	109.017	113.118	123.659	112.513	111.61	111.464	120.063	120.442	102.578	110.509	114.721	113.909	115.523	107.97	111.594	118.042	118.394	101.534	107.104	104.677	110.452	117.006	131.236	110.38	113.549	115.298	118.931	119.056	105.108	115.862	111.45	116.312	111.662	117.687	118.687	
Sim #17	115.356	118.027	109.884	122.131	110.23	113.557	119.297	102.307	100.181	109.637	126.754	110.379	120.522	107.516	110.711	123.465	114.394	115.814	115.539	112.824	118.025	104.974	116.38	107.844	106.962	110.072	115.05	105.619	116.071	119.921	114.462	108.065	110.803	109.755	121.046	117.388	118.975	116	111.814	114.814	108.954	118.446	115.116	104.78	111.512	115.537	110.874	111.317	122.66	116.449	121.056	113.219	113.001	111.208	111.606	118.133	122.715	110.132	104.299	108.624	127.72	110.388	118.064	109.323	114.525	110.23	113.983	123.624	111.682	112.223	112.239	121.657	124.027	101.275	109.526	116.999	117.565	118.636	108.064	110.998	118.406	117.739	102.225	106.761	103.614	111.187	118.958	131.994	111.775	112.583	115.07	121.219	118.94	106.148	116.332	111.78	116.642	113.371	119.363	119.595	
Sim #18	115.586	117.002	111.237	123.982	108.62	113.48	120.53	104.094	98.9769	112.061	127.213	109.214	122.171	107.517	111.764	123.44	111.736	117.124	115.295	115.071	114.604	107.123	117.654	107.071	107.546	110.324	114.336	105.252	116.986	120.158	114.19	108.788	109.479	109.703	121.004	116.729	118.817	116.827	112.375	112.85	110.006	118.965	115.621	105.022	109.78	114.28	111.777	111.022	124.449	115.191	120.51	113.689	115.697	112.806	113.499	118.092	123.978	110.012	105.011	108.247	125.202	110.714	117.418	109.895	114.869	111.436	116.392	121.97	111.768	113.32	114.181	122.154	125.47	99.762	110.241	114.495	117.709	122.634	107.39	113.084	116.629	116.883	103.391	106.711	103.534	113.239	120.495	131.238	112.263	110.652	115.41	123.24	117.496	107.81	114.36	113.196	117.332	117.28	118.122	119.1	
Sim #19	115.721	117.419	111.143	122.733	109.758	113.733	118.535	103.635	99.7637	114.713	128.284	107.999	122.101	106.077	111.803	126.009	111.646	115.183	115.244	115.644	117.249	107.576	117.246	107.25	110.088	111.518	115.602	105.047	116.375	119.794	115.123	107.73	108.798	109.724	120.561	114.864	117.953	116.644	112.393	112.203	111.857	118.589	117.508	104.371	109.667	117.357	112.929	111.21	124.059	114.592	118.156	112.528	115.452	112.03	116.812	119.913	123.683	109.174	104.98	105.786	124.387	111.249	115.69	109.539	112.026	112.745	116.431	122.618	112.23	109.653	114.244	123.391	124.71	100.279	111.985	113.821	118.612	123.413	109.517	114.029	116.705	118.646	102.816	104.75	104.241	113.953	120.694	132.759	112.381	109.969	115.767	124.927	117.436	107.151	113.283	112.945	117.743	118.493	117.657	118.726	
Sim #20	114.049	114.379	112.769	120.336	109.623	115.676	119.379	101.991	98.4379	113.505	130.765	106.523	123.924	106.487	112.738	126.808	110.965	114.965	115.82	115.698	116.851	108.434	117.466	106.828	109.553	110.907	112.699	106.345	115.812	119.536	116.928	108.317	109.828	112.577	118.303	116.119	118.735	117.93	113.381	110.466	110.461	119.185	115.777	107.271	111.481	119.126	113.791	110.267	125.32	114.062	117.669	111.265	114.039	113.26	116.826	119.095	121.896	107.845	104.321	105.729	127.255	110.581	115.685	110.47	111.338	114.04	118.838	121.676	109.459	108.338	114.021	123.512	126.713	100.355	112.534	114.281	118.475	124.918	109.021	112.95	118.858	120.668	103.011	104.459	105.419	113.959	119.321	135.492	113.598	110.412	115.448	126.45	117.511	107.933	116.351	113.427	117.708	119.803	118.479	119.965	
