	Day #1	Day #2	Day #3	Day #4	Day #5	Day #6	Day #7	Day #8	Day #9	Day #10	Day #11	Day #12	Day #13	Day #14	Day #15	Day #16	Day #17	Day #18	Day #19	Day #20	Day #21	Day #22	Day #23	Day #24	Day #25	Day #26	Day #27	Day #28	Day #29	Day #30	Day #31	Day #32	Day #33	Day #34	Day #35	Day #36	Day #37	Day #38	Day #39	Day #40	Day #41	Day #42	Day #43	Day #44	Day #45	Day #46	Day #47	Day #48	Day #49	Day #50	Day #51	Day #52	Day #53	Day #54	Day #55	Day #56	Day #57	Day #58	Day #59	Day #60	Day #61	Day #62	Day #63	Day #64	Day #65	Day #66	Day #67	Day #68	Day #69	Day #70	Day #71	Day #72	Day #73	Day #74	Day #75	Day #76	Day #77	Day #78	Day #79	Day #80	Day #81	Day #82	Day #83	Day #84	Day #85	Day #86	Day #87	Day #88	Day #89	Day #90	Day #91	Day #92	Day #93	Day #94	Day #95	Day #96	Day #97	Day #98	Day #99	
Sim #11	177.555	180.367	174.442	173.418	173.273	168.301	172.753	172.418	168.856	166.24	161.257	175.881	171.236	167.219	175.46	168.149	170.131	171.566	169.012	183.529	176.428	171.103	179.224	180.25	174.761	177.866	181.907	172.899	168.259	183.175	179.403	179.518	167.336	166.191	169.777	178.727	175.186	186.639	169.225	176.161	178.598	167.71	175.653	174.954	176.244	158.949	182.785	171.89	164.083	167.074	176.732	186.223	164.387	167.414	171.726	165.259	165.714	174.215	180.187	182.309	174.216	173.056	172.559	187.777	173.662	178.881	179.561	165.847	173.456	169.715	189.411	168.038	177.135	177.186	177.622	174.164	169.419	163.803	182.181	176.64	170.366	194.116	165.548	178.488	182.915	173.481	179.427	175.806	185.875	173.032	172.919	175.925	183.304	184.601	158.81	174.115	171.979	171.576	170.732	
Sim #12	179.211	182.824	174.595	174.174	172.744	167.228	174.38	173.527	170.023	164.755	162.385	176.763	176.989	167.222	172.722	172.19	170.483	168.775	171.506	181.594	175.667	169.048	178.492	182.186	177.248	177.744	182.761	172.522	169.992	183.394	182.435	182.233	168.178	165.504	172.012	182.261	175.765	187.961	170.253	175.641	178.996	169.364	175.793	175.086	174.281	158.762	183.555	173.156	160.655	165.827	181.289	186.937	166.475	169.56	172.482	166.899	168.443	171.87	176.52	186.454	173.059	172.722	171.881	190.397	174.603	180.052	180.074	166.782	171.202	165.423	191.794	169.031	179.026	177.092	178.014	175.077	171.732	161.575	181.36	177.594	172.692	193.34	165.082	181.771	179.127	177.578	181.034	175.832	187.259	170.858	174.084	174.071	185.411	184.549	161.146	174.803	171.774	172.728	173.392	
Sim #13	179.739	182.026	172.618	174.005	171.636	165.512	171.978	175.605	168.359	163.906	164.935	178.749	179.499	168.318	170.59	169.598	172.486	166.717	173.425	181.642	175.961	168.329	178.446	179.978	176.263	175.571	181.02	172.628	169.431	177.823	180.927	182.842	165.834	168.851	175.464	182.397	176.332	186.446	169.199	175.717	177.114	167.67	177.899	175.736	173.141	157.873	181.89	174.11	161.593	168.293	181.103	188.274	165.898	168.266	171.03	165.423	172.282	173.562	172.405	187.393	171.052	169.996	173.154	189.768	170.24	179.796	182.162	166.316	170.36	163.907	193.202	170.533	182.191	174.246	178.848	176.271	172.222	162.681	186.441	177.615	171.85	194.414	162.303	183.77	181.077	177.83	182.285	174.894	185.816	172.018	170.807	173.047	186.931	184.694	160.262	172.086	172.279	173.841	172.905	
Sim #14	176.224	181.445	171.215	177.195	168.573	166.18	175.081	172.399	166.43	162.581	164.55	177.255	180.942	168.484	170.911	166.491	168.817	167.003	172.923	180.459	179.321	169.011	173.806	177.459	175.941	175.321	180.52	171.853	171.662	176.851	178.685	182.519	168.406	170.377	176.838	183.252	178.156	184.819	169.019	172.137	179.068	166.895	181.373	173.874	173.229	158.891	184.523	177.9	163.89	169.938	181.653	187.618	166.398	169.762	170.718	163.892	172.268	171.063	175.101	186.264	173.213	169.736	173.924	189.848	170.972	180.632	178.603	168.398	170.574	161.774	192.32	170.978	180.499	175.786	179.303	176.525	172.623	166.142	184.759	176.918	171.375	193.29	160.637	183.243	181.943	177.923	180.485	175.618	189.144	169.776	169.743	169.288	183.436	185.848	161.378	170.614	174.335	174.333	170.994	
Sim #15	177.123	181.029	172.043	176.771	166.693	168.757	172.515	175.074	164.74	163.417	163.724	178.025	182.496	165.962	168.626	163.869	169.992	167.216	175.637	180.974	179.621	171.893	174.735	177.418	176.608	176.054	179.637	174.837	170.007	175.515	179.082	182.958	168.713	170.557	174.668	186.008	177.781	185.326	170.113	171.055	177.051	168.074	181.248	175.191	171.84	155.625	185.677	179.489	161.945	167.837	184.215	190.821	166.648	170.896	170.522	168.047	172.507	170.512	177.651	185.321	177.28	168.96	175.112	190.191	168.928	180.261	181.012	170.165	170.882	159.646	190.593	167.871	180.463	177.202	180.935	176.886	175.56	168.375	187.457	176.28	171.906	194.739	160.979	182.62	184.742	180.185	183.248	177.62	188.429	170.148	171.504	167.25	184.955	186.528	162.264	174.93	174.01	175.322	173.452	
Sim #16	177.004	178.026	173.673	176.016	167.034	170.782	173.286	173.749	161.692	161.029	164.507	178.289	182.182	164.209	170.637	164.395	171.073	168.778	175.005	179.508	179.681	175.793	171.914	177.092	176.963	180.205	180.937	177.062	169.484	173.591	183.082	179.703	169.008	168.024	174.085	187.884	179.607	185.491	172.061	171.446	178.412	170.468	180.093	175.172	173.179	157.049	186.283	179.41	162.373	165.936	183.001	192.644	166.376	172.949	170.405	168.174	171.646	171.478	178.44	184.761	175.119	171.949	176.814	192.812	171.342	178.188	177.603	170.981	169.395	160.817	186.5	167.719	181.456	176.127	184.086	178.492	173.893	169.623	192.735	179.213	172.657	196.254	162.802	185.741	187.475	179.239	182.727	176.151	191.218	174.009	174.125	168.382	182.802	189.472	164.344	177.127	174.731	175.926	179.027	
Sim #17	176.566	179.012	173.349	178.027	169.156	168.091	176.04	174.268	162.903	161.892	165.525	179.846	184.651	165.373	171.291	167.103	172.571	169.529	176.719	181.292	184.525	175.332	171.88	179.675	174.98	180.386	180.346	179.958	167.984	172.521	182.049	178.494	167.552	169.271	173.006	189.386	178.914	188.051	174.085	170.653	178.703	170.965	178.752	173.62	174.395	155.375	187.447	179.602	161.627	168.521	182.311	194.035	165.639	171.858	168.881	163.474	173.027	173.713	177.283	181.525	174.939	169.734	178.066	192.436	172.979	178.298	176.401	170.686	168.421	162.72	185.279	166.922	181.121	178.376	182.73	183.399	172.407	172.193	190.445	179.85	172.57	196.843	163.202	184.413	185.292	178.111	183.686	176.516	192.641	175.049	178.302	170.572	186.418	188.31	164.762	176.519	174.757	175.911	180.778	
Sim #18	176.927	181.969	171.539	180.346	170.077	168.76	174.94	173.311	164.004	161.637	165.8	181.106	183.576	163.422	172.587	167.715	170.411	166.474	175.229	180.643	185.436	174.245	172.561	180.089	176.237	181.975	180.887	179.023	168.869	171.748	180.867	180.323	169.259	169.928	176.255	190.091	178.659	186.234	174.113	171.618	180.987	169.931	179.805	173.669	179.468	154.903	189.169	177.301	163.171	170.428	184.123	193.624	167.12	174.294	169.826	159.801	174.04	175.076	174.432	181.376	172.663	169.305	175.842	189.836	175.257	176.18	175.252	169.308	171.811	165.265	187.543	166.232	181.05	177.25	182.824	185.558	172.211	173.928	194.304	178.753	169.173	195.426	164.049	183.75	187.613	175.157	185.559	174.385	195.089	179.235	176.722	172.262	186.596	189.15	165.373	176.272	178.325	175.847	182.665	
Sim #19	177.152	180.537	172.478	181.548	168.651	170.447	179.388	173.824	162.973	163.445	166.738	177.868	184.971	163.68	172.11	170.74	170.517	165.451	173.742	176.484	185.146	172.362	170.928	181.582	175.909	182.145	181.715	177.948	169.399	169.724	179.256	178.892	170.537	168.27	176.02	193.109	180.542	187.781	175.262	174.37	179.138	172.413	181.852	173.13	180.902	152.734	187.273	176.599	167.19	169.362	186.165	195.395	169.886	172.425	169.976	159.013	173.957	173.416	175.537	185.413	175.935	169.221	176.333	190.019	172.881	175.482	174.672	168.071	172.228	165.175	190.881	164.827	177.369	178.783	182.98	188.251	170.537	175.823	195.888	177.831	171.079	196.03	163.953	183.304	189.844	176.833	181.578	174.139	196.454	177.074	177.372	171.501	186.641	193.891	166.658	177.382	179.453	176.001	183.745	
Sim #20	174.81	181.169	174.479	184.329	167.114	173.757	179.455	172.854	161.881	166.282	169.531	176.395	185.705	163.408	172.035	169.475	170.76	168.971	173.601	177.457	184.131	174.14	170.096	180.156	173.909	181.923	180.188	177.547	168.99	171.006	178.535	181.233	169.301	166.888	175.555	189.866	182.844	186.128	176.05	174.292	180.12	174.155	180.393	173.646	180.297	154.089	190.615	174.658	167.242	172.464	188.204	195.453	171.223	167.841	171.017	156.655	172.992	171.194	172.47	182.212	176.223	169.456	174.658	190.175	169.753	177.918	175.627	170.534	171.252	166.833	192.268	166.563	178.899	180.752	188.309	187.747	169.698	176.284	198.9	179.584	174.268	197.495	163.447	185.95	188.603	171.107	184.757	176.283	198.096	181.316	174.786	170.907	186.03	194.01	164.874	179.71	173.862	178.497	184.047	
