	Day #1	Day #2	Day #3	Day #4	Day #5	Day #6	Day #7	Day #8	Day #9	Day #10	Day #11	Day #12	Day #13	Day #14	Day #15	Day #16	Day #17	Day #18	Day #19	Day #20	Day #21	Day #22	Day #23	Day #24	Day #25	Day #26	Day #27	Day #28	Day #29	Day #30	Day #31	Day #32	Day #33	Day #34	Day #35	Day #36	Day #37	Day #38	Day #39	Day #40	Day #41	Day #42	Day #43	Day #44	Day #45	Day #46	Day #47	Day #48	Day #49	Day #50	Day #51	Day #52	Day #53	Day #54	Day #55	Day #56	Day #57	Day #58	Day #59	Day #60	Day #61	Day #62	Day #63	Day #64	Day #65	Day #66	Day #67	Day #68	Day #69	Day #70	Day #71	Day #72	Day #73	Day #74	Day #75	Day #76	Day #77	Day #78	Day #79	Day #80	Day #81	Day #82	Day #83	Day #84	Day #85	Day #86	Day #87	Day #88	Day #89	Day #90	Day #91	Day #92	Day #93	Day #94	Day #95	Day #96	Day #97	Day #98	Day #99	
Sim #31	168.745	183.116	182.181	175.095	164.281	175.899	179.02	168.565	157.197	166.977	186.316	168.268	192.14	162.363	169.369	182.451	174.747	171.627	179.093	184.725	190.678	155.422	163.986	184.223	176.259	182.828	187.78	177.781	160.541	172.533	182.749	195.321	173.357	174.696	170.751	191.268	178.901	197.746	180.774	179.472	188.6	165.44	179.081	181.659	187.36	161.194	208.635	186.892	171.034	174.723	203.862	205.575	166.741	182.369	161.92	157.269	187.223	170.259	177.924	180.77	172.806	180.114	186.544	188.235	171.746	183.96	179.612	168.406	164.132	166.257	188.377	173.791	176.766	179.366	185.224	197.23	185.765	175.537	200.328	183.152	172.416	203.239	166.528	198.789	188.736	176.96	186.734	176.021	204.055	190.233	180.324	173.386	187.866	194.965	163.956	173.284	179.874	173.755	180.955	
Sim #32	170.714	181.938	182.265	179.115	163.691	177.056	182.962	166.709	157.854	169.199	188.722	166.447	194.836	160.376	170.895	179.671	173.747	172.964	178.45	182.145	190.781	156.389	166.002	183.803	174.833	183.47	184.711	176.662	161.473	172.297	184.516	198.839	175.329	172.219	170.782	192.196	179.13	200.019	180.222	182.137	187.337	165.039	181.389	181.135	186.824	158.533	207.673	186.384	169.679	178.35	205.537	203.671	171.48	180.39	162.037	152.974	188.982	169.634	176.997	181.666	177.544	184.164	188.785	193.227	173.714	187.274	178.074	168.193	165.183	167.23	192.12	173.846	178.429	180.419	181.589	198.555	187.235	173.323	200.319	180.282	171.557	206.617	168.573	200.94	190.951	178.569	187.813	177.29	205.475	188.521	181.989	173.286	189.123	194.37	164.313	170.657	177.282	177.062	182.118	
Sim #33	168.831	183.008	183.3	175.525	165.517	177.492	183.338	167.441	157.345	168.58	190.987	168.938	195.541	160.982	170.983	179.671	174.753	172.656	183.532	179.264	190.324	158.234	164.832	183.912	173.113	184.159	189.669	173.875	163.224	176.852	180.582	198.323	173.508	171.606	170.62	194.267	180.097	205.582	180.808	181.52	184.634	164.847	181.565	180.485	188.469	157.619	207.424	184.221	168.962	177.937	204.796	204.492	174.085	182.33	164.044	153.682	186.936	170.009	176.51	183.936	175.646	185.854	191.874	192.805	172.312	188.743	177.38	169.529	164.347	170.585	189.883	174.404	179.73	180.158	181.011	199.131	188.325	175.392	200.109	179.324	169.193	205.492	169.414	201.942	195.447	177.076	183.513	180.711	205.246	189.665	184.037	175.084	187.554	193.351	167.575	175.163	176.869	180.06	182.328	
Sim #34	170.446	185.53	187.038	177.332	168.442	177.492	184.966	167.26	157.841	165.427	190.873	167.114	192.313	162.074	172.342	183.172	171.017	175.17	184.284	177.13	190.598	160.82	164.299	184.033	175.054	181.307	188.884	172.925	163.21	175.78	184.013	197.936	177.966	173.31	172.708	193.776	178.155	208.667	179.658	184.987	185.569	164.392	182.387	181.198	186.688	158.822	210.496	183.196	170.036	175.856	205.492	199.28	175.784	182.076	164.064	155.468	185.308	172.863	176.681	187.863	177.467	187.106	194.497	190.839	170.395	186.054	177.825	168.232	160.657	169.514	190.021	172.959	180.31	180.986	183.003	197.753	187.247	175.059	198.303	178.463	167.837	203.77	169.406	200.815	197.173	176.856	183.502	178.211	204.704	187.368	183.495	174.121	186.793	192.89	172.245	175.055	178.888	182.349	181.009	
Sim #35	168.658	186.674	187.867	179.113	171.305	177.055	186.986	165.447	158.519	166.183	190.516	165.978	193.528	162.175	173.496	184.283	170.922	177.04	180.661	176.214	191.654	160.729	164.928	180.334	172.226	179.338	187.055	169.22	163.077	175.302	187.442	198.006	176.514	172.656	173.872	194.111	179.062	215.504	178.589	187.282	186.243	164.893	185.965	182.511	187.906	161.057	212.223	181.276	170.048	176.908	206.435	200.334	177.372	184.35	164.983	155.346	182.881	175.52	177.436	188.182	175.478	190.04	191.282	189.823	168.847	186.669	180.236	168.697	161.006	172.694	191.757	172.874	180.475	178.121	182.867	199.817	184.742	175.587	198.102	179.005	167.892	203.35	172.268	202.563	199.524	175.838	188.846	178.361	203.206	187.111	184.223	175.385	187.979	193.277	173.114	171.544	178.917	181.238	184.144	
Sim #36	171.529	185.226	190.196	179.1	172.754	174.372	182.816	166.367	156.659	166.876	188.6	166.902	193.644	166.144	171.985	187.078	169.988	174.35	180.34	177.986	192.748	162.421	164.811	180.722	167.478	176.66	187.415	168.277	160.672	176.575	186.84	196.112	174.909	171.288	172.843	193.503	184.477	218.239	180.589	189.268	186.389	166.012	182.643	179.629	187.053	161.328	212.245	184.391	168.818	175.151	208.721	198.025	173.283	183.611	167.369	155.321	182.457	176.513	178.689	190.701	175.81	192.381	190.473	189.064	171.128	183.702	179.258	168.256	161.572	174.141	190.52	172.65	178.914	176.685	185.874	199.387	182.719	176.912	195.14	179.12	169.453	202.471	174.518	205.054	203.474	177.553	189.415	179.674	202.279	184.528	184.694	176.543	191.444	192.271	171.593	173.587	181.372	181.088	185.268	
Sim #37	173.893	184.742	188.583	179.417	171.842	174.57	183.06	164.61	157.786	166.065	193.029	164.358	194.382	162.695	172.219	188.441	169.65	174.077	180.302	181.305	193.624	162.712	167.307	178.173	167.402	178.803	188.471	166.844	164.639	175.484	188.091	197.725	176.156	170.378	172.812	194.608	185.121	216.848	179.662	188.47	187.365	168.68	179.68	183.023	187.299	161.526	212.565	184.623	170.847	174.04	208.827	196.402	174.816	185.57	167.986	155.184	183.114	176.47	175.158	189.654	175.384	192.365	189.899	189.236	171.525	185.237	176.987	168.834	162.184	174.429	192.969	176.018	177.288	177.98	184.626	199.14	180.511	176.788	191.684	175.174	169.193	199.238	173.501	204.404	206.747	179.619	192.458	180.796	202.434	188.992	183.947	178.809	188.352	191.88	170.052	176.694	177.951	181.859	184.929	
Sim #38	176.184	184.3	192.836	180.856	174.042	173.113	183.519	167.055	159.642	166.794	191.954	164.353	192.81	162.613	173.567	189.24	170.627	174.87	181.172	182.178	188.449	164.462	168.057	175.332	169.973	181.565	192.2	166.545	164.023	174.933	186.358	194.91	176.699	170.618	173.107	199.478	183.993	214.184	178.273	188.196	188.259	168.647	179.81	183.974	188.111	156.406	215.976	187.488	171.926	174.82	209.831	196.413	175.652	186.11	168.915	151.897	182.726	179.518	174.483	190.163	174.668	192.102	187.065	189.79	171.596	181.205	184.789	170.558	161.623	170.56	190.873	176.948	177.381	175.488	186.544	198.743	182.527	179.968	191.883	174.25	167.118	201.106	174.017	205.849	206.605	177.316	193.442	179.803	205.493	188.651	185.692	178.975	189.947	194.48	170.816	177.644	178.693	181.005	187.285	
Sim #39	174.758	184.325	190.707	181.674	173.971	170.452	183.26	168.706	159.824	167.791	189.234	160.277	191.402	160.811	172.91	191.019	170.289	176.133	180.47	182.29	192.516	167.614	170.516	175.178	168.542	181.748	190.051	165.767	166.213	177.994	186.898	196.323	178.981	171.863	170.268	200.775	182.9	213.59	179.924	187.934	187.993	167.13	178.492	183.295	187.918	153.646	212.081	185.748	172.277	176.65	208.973	196.079	176.278	189.713	171.284	148.595	183.72	179.536	176.427	187.549	175.195	195.186	184.833	187.681	172.29	183.377	187.53	168.963	160.071	171.331	194.849	178.212	177.164	178.045	188.686	197.943	181.964	178.636	191.135	176.545	169.829	205.049	173.9	206	206.421	174.779	194.717	180.342	207.234	186.719	181.989	178.058	192.289	194.606	171.67	178.975	182.261	179.746	189.653	
Sim #40	175.209	186.372	193.692	181.938	173.397	167.982	186.459	168.275	159.769	168.024	189.807	158.443	189.499	160.04	177.326	189.707	169.523	177.526	180.744	179.728	191.946	168.303	172.279	177.575	169.877	183.063	192.092	168.89	167.822	180.819	187.119	198.964	178.429	171.733	170.966	199.372	186.534	212.359	177.777	189.496	187.698	168.591	180.76	182.735	186.878	154.14	210.988	187.158	168.611	175.713	208.915	196.197	177.391	192.366	169.821	150.202	183.051	177.652	179.313	186.842	175.132	196.741	183.588	190.047	172.535	183.738	190.118	164.04	158.733	173.08	199.403	178.201	176.754	174.787	184.847	199.202	183.08	178.583	188.204	176.364	170.082	206.557	175.449	204.251	206.668	171.049	192.638	181.839	206.272	185.195	182.372	175.556	194.946	192.162	171.874	182.217	181.861	180.472	192.838	
Sim #41	176.418	188.053	198.965	184.031	175.636	165.143	184.818	168.098	158.717	169.786	190.607	162.074	189.576	162.139	176.204	195.941	172.202	178.613	184.122	180.902	191.091	169.58	171.757	176.428	169.471	182.554	193.112	168.898	167.179	182.047	187.873	196.733	180.289	171.256	170.126	197.433	187.981	207.354	178.355	190.521	185.314	171.427	179.88	182.341	185.911	154.199	211.694	190.144	167.719	173.651	210.54	194.292	177.106	194.611	171.297	152.263	186.372	174.539	176.448	186.543	179.754	198.447	183.823	189.766	171.294	188.972	189.673	164.057	155.725	177.406	196.72	179.832	176.297	174.721	188.069	195.177	185.249	176.349	189.557	177.012	171.862	203.379	171.778	202.203	208.703	170.913	189.337	183.607	200.793	184.319	180.883	174.444	197.928	194.786	170.791	180.214	180.217	178.879	192.085	
Sim #42	178.559	191.991	199.505	183.195	176.042	167.939	182.765	167.861	157.945	169.407	187.191	159.874	192.898	163.599	175.631	199.951	174.483	180.198	179.919	181.083	192.805	166.826	172.088	176.735	170.362	181.971	192.369	168.139	166.782	180.734	189.835	191.524	181.081	169.032	171.548	200.248	190.675	207.856	178.747	192.791	186.319	173.23	180.455	183.093	184.767	153.81	206.473	191.245	168.993	173.404	212.066	197.063	172.618	195.715	168.046	151.672	187.406	171.901	177.478	186.548	179.414	201.166	183.556	187.966	171.838	188.044	189.767	165.679	154.692	179.296	194.901	182.309	176.283	178.261	188.549	200.731	184.876	175.885	195.414	179.27	173.391	205.659	171.635	200.947	209.496	171.953	193.449	184.789	201.733	186.507	181.37	173.741	196.317	197.348	171.759	179.946	180.544	177.779	195.975	
Sim #43	179.345	191.384	197.499	181.144	176.022	166.497	185.035	169.877	158.111	172.76	183.8	161.263	190.898	163.851	176.205	197.044	176.603	181.073	180.843	183.227	189.81	166.887	171.935	176.123	174.125	182.393	190.928	170.186	165.654	180.61	192.479	192.419	178.048	170.616	174.079	201.594	194.268	205.369	178.073	191.124	189.088	173.838	178.901	182.533	185.905	151.757	205.019	190.945	168.539	176.965	213.928	198.193	173.463	196.892	165.435	150.309	186.761	169.259	177.873	186.293	175.478	200.767	183.425	185.695	173.366	186.91	191.328	169.771	152.651	180.221	198.331	182.074	179.366	175.704	187.909	199.578	186.092	176.935	198.255	179.695	172.338	204.707	173.275	202.537	211.972	172.372	191.836	183.337	203.768	185.985	187.2	171.753	195.141	196.695	170.944	181.435	178.578	177.075	197.01	
Sim #44	181.759	189.449	199.343	184.055	176.267	167.561	184.771	168.377	160.944	172.906	185.234	163.699	188.376	162.955	172.996	201.978	180.495	183.352	181.036	184.372	187.551	166.383	171.371	173.185	173.373	184.259	189.865	169.346	165.515	179.177	188.707	191.302	175.353	169.51	177.009	201.325	194.02	206.287	181.036	191.019	188.952	170.909	176.372	181.654	185.36	150.728	207.481	189.19	170.584	177.784	215.569	195.683	169.42	198.537	166.026	152.791	182.18	168.181	174.118	183.049	176.432	196.124	184.11	186.437	174.721	185.699	189.539	172.565	151.224	177.146	201.193	180.637	179.01	175.281	187.01	199.986	188.079	176.875	195.935	178.279	172.556	204.351	175.645	204.318	213.601	174.156	192.911	185.943	199.049	187.289	184.782	173.224	193.14	200.115	171.403	183.561	181.269	175.744	197.521	
Sim #45	181.857	191.779	196.7	186.46	177.746	169.273	182.382	167.363	159.089	170.361	182.56	166.306	190.2	165.343	176	204.212	181.236	185.1	182.187	183.861	185.084	164.908	172.919	174.754	173.219	183.357	191.852	168.832	166.796	178.455	188.982	191.319	176.281	169.193	179.349	200.016	192.465	209.697	180.348	193.364	186.004	175.727	175.873	181.932	187.859	150.904	207.827	188.784	171.396	176.185	218.837	196.949	167.027	198.645	168.009	151.591	185.904	167.716	170.571	181.241	178.398	199.573	184.807	183.965	176.495	185.356	192.716	173.191	152.758	173.584	202.003	179.551	177.3	175.716	187.46	198.083	188.844	178.787	195.5	176.311	174.585	207.194	174.406	202.404	218.207	172.584	191.046	187.125	202.425	186.902	188.324	173.208	193.891	203.757	171.468	185.411	181.133	174.917	201.113	
Sim #46	182.861	190.291	195.684	187.836	177.313	167.859	181.109	165.364	158.451	167.559	182.499	168.121	188.012	165.328	172.757	205.115	185.311	183.557	181.447	183.648	189.503	166.11	176.713	175.248	173.169	183.452	187.414	168.56	168.048	179.965	192.119	193.201	176.264	168.972	180.681	203.803	191.552	211.598	180.559	187.594	187.324	177.335	175.422	181.319	186.815	150.73	204.879	189.204	172.361	175.245	214.841	204.453	167.611	198.344	166.507	154.398	182.502	167.661	169.218	182.943	176.374	199.683	184.519	184.55	177.049	185.017	191.908	172.202	153.179	173.685	202.3	180.082	176.087	178.874	187.815	197.164	185.99	183.16	198.399	178.462	172.195	203.466	176.997	203.077	216.987	171.173	191.31	187.078	201.215	188.544	188.47	174.633	195.257	203.273	171.994	180.535	179.797	175.656	204.046	
Sim #47	183.897	190.144	195.906	187.705	180.206	166.692	177.87	164.201	155.956	165.656	182.69	167.075	186.004	166.168	172.826	207.268	186.035	184.028	181.954	181.663	187.54	166.699	180.517	175.003	175.327	184.977	188.704	170.523	167.266	180.329	188.797	192.043	177.411	168.447	182.282	202.259	195.418	216.741	179.497	189.415	186.549	178.857	174.948	184.631	186.782	150.66	206.746	190.004	171.434	172.346	217.773	206.794	168.515	198.439	165.029	154.799	181.87	165.866	171.861	181.791	175.24	199.58	183.223	183.572	177.28	186.612	192.929	171.625	154.857	170.767	200.62	178.111	178.395	177.716	188.271	197.914	191.124	185.48	197.612	178.361	172.376	199.82	177.123	203.689	214.894	171.578	195.169	188.847	202.207	190.614	190.777	176.228	194.768	201.122	173.029	181.636	179.783	175.525	202.916	
Sim #48	186.183	191.525	195.675	187.58	179.075	164.384	176.048	165.397	153.79	165.748	181.916	166.297	182.263	166.315	171.031	207.639	183.835	186.928	182.013	181.657	185.507	166.273	183.954	177.975	175.622	185.221	187.885	170.376	166.547	179.856	188.417	189.265	177.661	168.077	183.695	202.177	193.588	216.077	181.89	189.509	187.554	180.278	173.138	184.582	189.446	148.916	207.64	189.602	169.524	172.614	215.184	209.089	170.214	197.739	165.127	154.882	179.766	164.06	172.953	183.199	177.214	200.749	177.958	183.901	177.765	188.872	187.948	172.106	154.906	169.067	195.774	180.205	179.107	180.782	185.361	197.385	190.887	189.111	195.901	179.059	172.471	200.183	177.875	205.988	210.116	166.844	196.745	187.094	203.973	193.305	188.708	176.691	196.255	200.672	171.966	186.216	179.99	174.742	199.003	
Sim #49	184.862	191.491	193.056	186.161	181.042	164.824	176.583	168.013	154.773	165.503	181.569	166.295	177.285	166.715	172.625	206.181	182.394	187.693	180.001	181.087	185.46	166.303	185.886	176.501	172.966	184.943	186.442	171.042	166.935	179.532	189.88	190.476	173.881	169.726	187.538	204.783	192.366	216.593	185.17	190.155	185.551	179.312	176.016	183.223	188.89	150.519	207.38	185.198	170.645	171.398	214.381	204.99	172.733	198.328	162.399	153.59	178.318	164.168	171.868	183.57	179.278	201.723	178.44	185.893	177.887	190.596	189.053	172.746	155.567	172.507	197.632	181.785	180.144	179.096	184.957	195.001	194.478	187.305	194.746	183.789	171.367	198.839	174.302	203.604	209.065	166.149	195.965	187.471	208.082	194.51	189.335	176.316	197.705	202.804	170.322	191.061	179.898	178.416	199.192	
Sim #50	187.15	193.638	189.916	185.629	182.893	162.979	177.801	171.814	153.375	169.302	182.623	165.105	178.81	166.605	175.274	209.672	185.539	191.299	180.553	181.431	184.444	166.47	189.328	176.488	171.338	184.225	188.326	169.44	164.913	183.811	192.675	188.793	171.987	168.695	189.662	204.349	194.894	218.22	186.301	189.631	184.888	177.758	174.716	179.92	190.226	153.989	201.638	183.896	169.301	169.289	213.597	201.029	171.835	201.733	162.349	154.033	178.895	166.16	174.375	183.1	178.325	200.35	179.025	187.291	175.184	190.27	189.736	173.828	153.359	173.767	197.31	183.978	184.153	176.932	185.212	195.998	192.464	191.162	194.132	184.815	172.007	194.953	176.118	205.049	210.414	166.857	197.184	185.98	207.585	198.726	190.942	179.072	197.457	203.001	168.933	188.261	179.157	176.309	198.293	
Sim #51	184.51	193.83	191.232	183.359	180.142	160.497	176.864	171.686	153.157	167.986	180.745	166.757	178.326	168.437	175.004	210.727	188.71	191.535	181.226	178.917	186.241	166.103	192.373	179.962	171.601	184.369	191.124	163.826	164.381	187.334	191.695	189.784	171.027	168.654	185.918	204.71	190.727	222.149	185.323	188.471	181.927	175.346	177.769	179.053	187.492	152.156	202.327	184.313	170.376	171.921	218.708	203.632	169.147	203.574	162.888	154.179	182.007	168.159	173.95	184.433	174.399	199.543	177.7	187.535	175.091	188.065	189.635	169.323	150.656	174.351	197.864	187.223	182.626	177.677	186.159	194.449	195.911	193.459	191.922	184.825	169.525	194.408	172.347	202.956	211.48	164.103	199.964	186.333	206.205	202.075	194.582	182.194	196.511	204.579	168.257	190.1	177.7	177.944	197.654	
Sim #52	185.277	190.905	190.201	184.835	181.288	161.787	175.335	173.51	155.618	167.516	179.876	165.949	180.902	167.162	175.165	212.975	184.749	191.138	179.99	179.048	186.281	165.767	190.285	180.529	171.54	184.206	189.96	165.564	167.267	186.742	190.505	190.815	172.561	168.715	185.894	203.095	193.126	218.748	184.4	188.113	180.264	177.988	179.046	176.51	187.539	152.831	202.199	186.195	172.076	171.033	219.852	204.883	170.373	202.233	164.486	153.499	182.062	167.701	175.237	186.898	174.024	202.425	176.335	190.411	176.029	191.739	190.304	169.049	151.741	176.733	198.414	187.903	182.909	178.325	185.066	197.008	193.779	193.649	189.981	186.663	168.632	194.323	175.255	206.725	219.301	166.439	201.903	187.795	206.682	201.176	191.467	180.868	193.845	208.535	169.042	192.547	178.899	181.769	199.097	
Sim #53	186.559	189.563	193.272	182.622	180.706	163.619	176.607	171.743	155.07	167.418	183.489	163.651	180.918	166.68	175.337	214.611	187.379	191.923	180.39	178.084	184.67	168.751	187.169	179.889	171.397	183.167	192.48	169.574	166.432	193.157	190.525	190.871	174.833	172.813	185.298	202.076	195.435	221.919	182.184	190.211	182.82	178.836	177.865	177.993	187.534	152.479	199.929	184.13	175.617	169.162	222.066	205.501	168.337	202.762	164.909	155	181.617	165.17	177.825	185.337	175.837	198.237	174.786	191.056	171.506	195.015	192.262	167.539	152.968	178.23	200.422	190.24	180.418	181.986	186.317	193.409	194.708	194.63	191.659	186.065	169.758	193.143	175.603	206.59	218.289	165.367	204.21	187.66	208.266	202.707	192.995	178.226	193.772	208.516	170.854	193.372	178.705	178.541	200.229	
Sim #54	183.453	186.972	191.737	182.002	180.149	163.214	178.402	172.848	153.211	169.85	180.585	161.587	179.042	166.405	175.042	212.244	185.688	193.881	182.179	177.413	185.262	168.67	187.812	178.126	169.717	183.729	192.09	171.577	169.927	191.786	191.836	195.424	176.35	175.518	182.111	199.119	195.231	224.397	182.789	191.286	181.453	181.934	178.395	176.295	184.902	151.396	203.385	184.187	179.771	168.609	219.344	200.776	172.2	202.788	165.705	156.559	183.694	165.755	174.577	185.288	175.858	198.954	179.009	194.406	172.506	193.066	195.779	165.151	151.577	179.098	202.541	191.342	182.157	177.832	189.974	195.825	196.935	192.744	191.967	187.214	168.317	193.797	175.732	204.367	215.922	167.669	208.203	184.476	209.723	203.343	192.858	178.68	191.937	208.862	171.612	193.837	177.814	178.891	203.916	
Sim #55	182.328	185.643	194.071	185.456	181.488	164.132	177.369	172.821	152.766	172.296	180.896	162.151	177.315	163.476	174.395	212.84	188.661	196.65	179.482	179.851	184.377	168.453	185.296	178.233	170.065	183.563	194.502	170.974	171.443	193.986	192.392	195.526	177.579	174.727	183.873	201.174	193.952	225.923	178.297	190.212	180.315	182.433	183.326	174.298	186.81	150.989	202.82	184.729	177.276	169.765	220.667	201.09	172.27	202.405	165.928	159.454	182.704	162.158	175.351	184.977	175.505	197.619	179.671	189.726	175.465	192.438	196.135	167.382	154.536	178.693	202.71	191.043	183.44	180.165	190.938	194.686	196.774	188.528	191.129	187.633	171.935	196.134	174.243	206.57	215.309	166.822	209.978	185.292	209.128	204.382	191.818	177.294	196.421	210.882	171.681	191.698	179.835	179.802	201.783	
Sim #56	181.512	185.528	191.494	181.376	180.971	164.051	177.589	172.305	150.777	171.141	182.9	161.462	178.629	164.156	173.14	214.148	190.469	197.629	179.655	182.788	186.415	164.983	184.881	177.896	169.852	182.329	192.152	169.741	172.117	195.73	193.589	196.63	180.72	171.371	183.35	201.372	195.181	225.638	179.16	192.631	181.741	181.546	181.963	174.973	184.923	152.579	202.365	184.557	177.715	170.853	222.372	202.411	171.109	197.361	166.132	163.611	183.804	162.232	175.167	186.28	172.744	196.27	178.313	189.262	174.213	190.382	199.391	167.277	152.034	178.931	203.985	190.911	186.736	178.307	197.398	197.964	201.433	191.395	195.09	189.825	170.251	195.321	174.183	205.206	219.452	164.472	206.045	185.061	209.58	205.33	190.763	176.539	191.813	213.237	168.734	188.324	184.019	179.499	198.117	
Sim #57	183.58	184.775	192.885	180.366	181.969	162.531	179.087	174.574	148.591	172.977	180	159.632	178.596	166.067	175.214	211.255	191.31	193.583	180.312	182.381	184.818	165.276	182.066	174.394	170.448	185.798	190.404	168.236	171.758	199.705	195.308	196.048	179.77	175.335	184.463	201.976	197.532	227.988	179.22	189.61	183.265	179.381	182.527	170.459	183.846	153.155	202.5	185.648	177.492	171.483	222.514	202.368	174.454	195.149	163.592	163.094	187.893	164.77	175.568	186.571	174.784	197.039	178.628	192.317	178.145	191.237	200.891	165.233	153.895	179.249	205.46	189.735	192.279	178.14	196.903	198.829	202.738	190.75	195.571	193.301	168.118	198.992	172.371	207.894	215.253	167.045	207.866	186.472	213.113	201.246	191.575	176.438	193.798	217.485	170.638	191.498	182.119	183.992	196.616	
Sim #58	187.21	187.393	191.021	182.054	183.214	165.659	180.252	176.524	149.429	172.903	181.763	160.44	179.38	170.864	175.498	211.709	194.085	193.255	177.87	184.01	182.353	167.819	181.8	173.524	173.086	184.486	191.513	169.194	173.274	196.523	196.74	193.173	179.495	173.364	186.046	204.744	196.992	227.898	180.716	188.638	184.942	180.862	185.732	172.644	183.011	154.416	202.924	188.582	175.236	173.044	224.518	201.413	171.95	195.676	165.796	165.307	190.626	162.071	179.929	187.898	179.419	199.377	179.57	191.176	178.96	190.123	205.077	165.381	151.589	178.359	203.298	188.824	193.73	179.527	197.697	196.452	202.014	192.548	196.43	191.913	166.106	202.008	171.964	209.042	215.541	168.787	206.019	188.501	216.671	200.383	194.861	178.902	196.533	221.504	168.945	187.501	182.068	182.715	198.556	
Sim #59	186.491	188.796	192.43	181.717	185.635	169.236	184.317	174.68	145.843	171.23	179.268	160.326	179.972	171.772	175.781	213.593	190.493	192.887	178.22	184.241	180.896	167.945	183.481	173.126	174.077	183.095	193.16	169.756	176.193	196.313	192.716	197.223	179.092	173.457	184.8	207.493	195.179	227.05	175.672	185.964	187.861	181.631	185.417	173.153	184.577	155.552	205.873	186.832	179.194	172.037	227.335	203.355	174.56	195.326	166.444	165.447	189.733	163.291	177.31	185.983	180.672	198.929	183.258	189.403	178.556	186.543	205.881	169.614	151.874	175.91	206.021	189.589	192.952	178.316	196.773	197.897	200.452	194.058	195.017	193.29	167.309	200.538	172.694	208.294	216.735	169.469	207.5	188.308	214.129	198.156	192.516	181.288	197.576	223.401	167.945	187.168	184.259	181.64	198.645	
Sim #60	185.702	189.684	196.137	182.585	185.26	175.954	185.957	173.262	147.485	172.397	178.064	164.646	180.148	174.373	177.895	214.928	193.699	191.326	178.071	181.996	181.753	167.431	183.406	172.128	174.929	178.092	191.417	173.035	175.531	190.64	190.749	195.741	181.129	170.482	183.695	209.652	198.381	227.112	176.329	184.718	185.721	181.133	186.206	171.882	188.37	155.297	205.92	187.966	182.97	176.196	228.618	203.115	176.556	198.751	164.808	167.262	192.049	164.005	176.694	186.732	180.073	200.915	181.397	189.972	180.293	187.311	203.111	169.626	151.469	175.953	209.013	190.2	192.314	177.676	195.849	195.944	199.851	195.271	198.689	191.856	167.919	201.028	172.79	207.057	219.85	169.844	211.159	188.37	213.769	198.308	196.081	183.601	196.933	222.791	167.799	188.323	184.627	183.417	195.336	
Sim #61	190.912	189.759	195.004	184.837	184.656	176.024	186.706	172.825	147.703	174.75	174.439	163.324	181.709	174.441	176.462	213.182	194.285	192.884	175.745	181.837	179.21	166.531	184.45	171.111	175.788	176.983	194.417	168.743	171.241	190.55	191.3	198.244	177.492	168.65	182.908	207.798	202.465	229.449	177.403	186.193	184.063	182.012	189.058	172.283	184.919	154.958	205.417	188.131	185.444	178.695	230.975	206.442	175.884	195.671	162.266	167.442	198.127	161.555	175.914	189.16	179.37	203.23	181.976	189.942	180.578	193.929	204.167	169.454	152.55	178.372	210.253	190.08	194.519	176.709	196.57	194.211	201.664	195.295	199.131	190.408	172.644	199.808	172.77	206.873	218.092	169.02	211.809	186.396	214.816	196.731	194.84	185.613	198.565	221.982	166.931	186.448	185.205	185.173	194.374	
Sim #62	190.21	186.433	194.197	184.642	187.318	179.743	185.703	173.074	149.983	174.68	174.19	166.629	182.382	175.889	173.212	210.916	191.781	191.49	178.659	185.32	177.199	165.675	185.559	169.46	174.082	178.292	194.474	167.916	171.368	191.483	195.489	196.572	181.046	168.529	183.221	206.572	198.611	224.413	175.33	186.241	185.943	182.358	186.511	171.325	182.289	155.579	204.149	188.805	184.58	177.397	226.079	206.491	173.817	198.884	163.542	171.013	197.841	164.214	173.592	193.039	179.848	203.572	183.47	190.934	175.214	199.378	202.051	170.815	151.638	177.152	214.496	189.78	195.456	177.002	198.036	192.726	197.396	195.055	198.139	191.226	174.182	202.596	173.762	205.436	221.987	166.321	210.393	187.085	211.359	199.876	193.758	187.883	201.003	221.398	166.612	187.603	184.382	184.051	198.957	
Sim #63	189.741	183.491	198.774	184.636	185.076	181.889	186.45	172.97	148.359	174.944	174.581	165.881	182.485	179.347	172.106	209.719	194.333	191.252	178.068	183.782	179.508	167.161	185.089	166.986	174.61	177.137	191.7	169.019	173.763	192.002	193.389	194.47	182.042	171.329	186.578	204.031	196.894	224.704	173.348	182.439	184.088	182.361	188.36	175.769	182.15	154.037	203.308	187.929	182.093	179.929	227.285	209.152	168.781	194.442	162.735	172.121	198.442	164.962	173.195	188.916	180.064	202.945	185.006	189.969	177.829	194.771	198.408	171.953	152.538	175.54	217.48	194.4	192.833	178.437	199.383	192.329	197.395	191.626	197.359	192.925	175.119	201.648	176.475	202.623	220.925	164.385	211.2	186.967	209.071	197.118	193.272	188.881	199.702	223.204	167.262	191.083	185.045	185.748	202.75	
